               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090873,            0.090144,                   0,             0.56178,             0.43649,             0.46771,             0.20925,            0.063301,            0.063314,                   0,            0.070214,           0.0033095,           0.0033095
                   1,            0.075571,            0.076873,                   0,             0.48146,             0.45628,              0.4151,             0.18253,            0.062866,            0.060525,                   0,            0.039885,            0.006314,            0.006314
                   2,            0.070676,            0.071556,                   0,             0.72101,             0.48745,             0.55908,             0.27582,            0.056424,            0.060649,                   0,           0.0092266,           0.0089885,           0.0089885
                   3,            0.065796,            0.066858,                   0,             0.78814,              0.5307,             0.63011,             0.31972,            0.052156,            0.062614,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.061788,            0.064823,                   0,             0.78894,             0.50718,             0.58694,             0.31372,            0.050462,            0.063499,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.058723,            0.063954,                   0,             0.79193,             0.52533,              0.6038,             0.32469,            0.048874,            0.064681,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.056523,            0.062134,                   0,             0.78592,             0.51304,              0.6096,             0.33788,            0.048519,            0.068843,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.055026,            0.061049,                   0,             0.79331,             0.50211,             0.59617,             0.32662,            0.048844,            0.068363,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.053741,            0.059745,                   0,              0.7895,             0.48036,             0.58125,             0.32686,            0.049009,            0.068749,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.052547,             0.05923,                   0,             0.77529,              0.4938,             0.58849,             0.33103,            0.048667,            0.071425,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.052187,            0.058045,                   0,               0.787,             0.47437,             0.56211,             0.30982,            0.049252,            0.070539,                   0,            0.005545,            0.005545,            0.005545
