               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090108,            0.088597,                   0,             0.47311,             0.43056,             0.40761,             0.17654,            0.065705,            0.061855,                   0,            0.070214,           0.0033095,           0.0033095
                   1,            0.074933,            0.071315,                   0,             0.62208,             0.47009,             0.51718,             0.22532,            0.058269,            0.058813,                   0,            0.039885,            0.006314,            0.006314
                   2,            0.069875,            0.067392,                   0,             0.67869,             0.47461,               0.562,             0.27405,            0.057409,            0.064654,                   0,           0.0092266,           0.0089885,           0.0089885
                   3,            0.064011,             0.06384,                   0,             0.78265,             0.48879,             0.57542,             0.29345,            0.054447,             0.06552,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.059872,            0.061957,                   0,             0.75935,             0.49844,             0.57632,              0.3123,            0.049805,            0.068869,                   0,            0.008515,            0.008515,            0.008515
                   5,             0.05703,            0.061254,                   0,             0.79971,             0.51084,             0.60144,             0.32008,             0.04952,            0.067927,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.05543,            0.059401,                   0,             0.79681,             0.48011,             0.57452,             0.31983,            0.049862,            0.072176,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.053451,            0.058323,                   0,             0.77817,             0.47144,             0.55652,             0.31209,            0.048392,            0.074106,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.051704,            0.056644,                   0,             0.77251,             0.43383,              0.5253,             0.29544,            0.051461,            0.078728,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.050636,            0.056166,                   0,             0.76199,             0.44315,             0.53021,             0.30128,            0.049766,            0.080216,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.049706,            0.054822,                   0,             0.80216,              0.4429,             0.53602,             0.30851,            0.049494,            0.077743,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.049222,            0.054086,                   0,             0.76644,             0.43221,             0.51042,             0.28559,            0.049762,            0.079178,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.047835,            0.052665,                   0,             0.76904,             0.41938,             0.50037,             0.28696,            0.050053,            0.085344,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.047201,            0.052748,                   0,              0.7493,             0.41965,             0.49448,             0.28851,            0.049979,            0.079903,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.046812,            0.051374,                   0,              0.7726,             0.41571,             0.51006,             0.30134,            0.050079,            0.084295,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.046177,             0.05186,                   0,             0.75694,             0.42054,             0.50267,             0.29547,            0.050827,            0.082546,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.045789,            0.050808,                   0,             0.73824,             0.40844,              0.4902,             0.28523,            0.050319,            0.087569,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.045524,            0.051059,                   0,             0.73847,             0.41254,             0.49593,             0.28876,             0.05064,            0.087001,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.045104,            0.050137,                   0,             0.74125,             0.40835,             0.49253,             0.28586,            0.050903,            0.086524,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.044697,            0.048704,                   0,             0.71856,              0.3945,             0.47625,             0.27815,            0.051087,            0.089829,                   0,             0.00109,             0.00109,             0.00109
